id,catalog,name,left_wl_begin,left_wl_end,central_wl_begin,central_wl_end,right_wl_begin,right_wl_end,kind,units,definition_status,notes
Lick_Fe5782,Lick,Fe5782,5765.375,5775.375,5776.625,5796.625,5797.875,5811.625,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
BH_NaD,BH,NaD,5835.0,5865.0,5865.0,5920.0,5920.0,5950.0,absorption_index,angstrom,standard,Passbands retained from supplied Brodie & Huchra table.
Emission_HeI5876,Emission,HeI5876,5845.0,5862.0,5870.0,5882.0,5895.0,5915.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Lick_NaD,Lick,NaD,5860.625,5875.625,5876.875,5909.375,5922.125,5948.125,absorption_index,angstrom,standard,Classical Lick/IDS air-wavelength passbands.
Lick_TiO1,Lick,TiO1,5816.625,5849.125,5936.625,5994.125,6038.625,6103.625,absorption_index,mag,standard,Classical Lick/IDS air-wavelength passbands.
Lick_TiO2,Lick,TiO2,6066.625,6141.625,6189.625,6272.125,6372.625,6415.125,absorption_index,mag,standard,Classical Lick/IDS air-wavelength passbands.
MaNGA_TiO2_SDSS,MaNGA,TiO2_SDSS,6066.625,6141.625,6189.625,6272.125,6422.0,6455.0,absorption_index,mag,standard,Modified red continuum designed for SDSS/MaNGA spectra.
Emission_OI6300,Emission,OI6300,6270.0,6290.0,6294.0,6307.0,6312.0,6332.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_OI6364,Emission,OI6364,6335.0,6353.0,6357.0,6371.0,6375.0,6395.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Spiniello_CaH1,Spiniello,CaH1,6342.125,6356.5,6357.5,6401.75,6408.5,6429.75,absorption_index,mag,standard,IMF-sensitive; can be affected by emission/tellurics.
Emission_NII6548,Emission,NII6548,6480.0,6530.0,6542.0,6554.0,6605.0,6650.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Custom_Halpha,Custom,Halpha,6515.0,6540.0,6554.0,6575.0,6575.0,6585.0,absorption_index,angstrom,pragmatic,For emission-subtracted spectra; red continuum kept short to limit [NII] contamination.
Emission_Halpha,Emission,Halpha,6480.0,6530.0,6555.0,6571.0,6605.0,6650.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_NII6583,Emission,NII6583,6480.0,6530.0,6577.0,6590.0,6605.0,6650.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_HeI6678,Emission,HeI6678,6645.0,6665.0,6672.0,6684.0,6690.0,6708.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_SII6716,Emission,SII6716,6680.0,6705.0,6710.0,6723.0,6744.0,6770.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_SII6731,Emission,SII6731,6680.0,6705.0,6724.0,6738.0,6744.0,6770.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Spiniello_CaH2,Spiniello,CaH2,6510.0,6539.25,6775.0,6900.0,7017.0,7064.0,absorption_index,mag,standard,IMF-sensitive; broad continua and telluric sensitivity.
Emission_HeI7065,Emission,HeI7065,7035.0,7054.0,7058.0,7072.0,7078.0,7100.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_ArIII7136,Emission,ArIII7136,7100.0,7122.0,7128.0,7144.0,7150.0,7175.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_OII7320,Emission,OII7320,7285.0,7310.0,7313.0,7326.0,7342.0,7365.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_OII7331,Emission,OII7331,7285.0,7310.0,7325.0,7338.0,7342.0,7365.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_OI7774,Emission,OI7774,7735.0,7758.0,7765.0,7782.0,7790.0,7815.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
LaBarbera_NaI8190_SDSS,LaBarbera,NaI8190_SDSS,8143.0,8153.0,8180.0,8200.0,8233.0,8244.0,absorption_index,angstrom,standard,Gravity/IMF and sodium-abundance sensitive.
Paschen_Pa17_8467,Paschen,Pa17_8467,8438.0,8455.0,8460.0,8474.0,8478.0,8490.0,absorption_or_emission_line,angstrom,pragmatic,Useful for young populations and CaT contamination checks.
Cenarro_PaT_P17,Cenarro,PaT_P17,8474.0,8484.0,8461.0,8474.0,8563.0,8577.0,absorption_index,angstrom,standard,Component of PaT; continuum is formally fit from five Cenarro bands.
Cenarro_sTiO,Cenarro,sTiO,8474.0,8484.0,8474.0,8484.0,8776.0,8792.0,bandhead_ratio,ratio,standard,Continuum-slope TiO index; ratio between fitted continua near these bands.
DTT_CaII8498,DTT,CaII8498,8447.5,8462.5,8483.0,8513.0,8842.5,8857.5,absorption_index,angstrom,standard,Air-wavelength passbands; CaII8662 typo corrected.
Cenarro_CaT_Ca1,Cenarro,CaT_Ca1,8474.0,8484.0,8484.0,8513.0,8563.0,8577.0,absorption_index,angstrom,standard,Component of CaT; nearest bracketing Cenarro continuum bands.
Paschen_Pa16_8502,Paschen,Pa16_8502,8478.0,8490.0,8495.0,8509.0,8515.0,8522.0,absorption_or_emission_line,angstrom,pragmatic,Useful for young populations and CaT contamination checks.
Cenarro_CaT_Ca2,Cenarro,CaT_Ca2,8474.0,8484.0,8522.0,8562.0,8563.0,8577.0,absorption_index,angstrom,standard,Component of CaT; nearest bracketing Cenarro continuum bands.
DTT_CaII8542,DTT,CaII8542,8447.5,8462.5,8527.0,8557.0,8842.5,8857.5,absorption_index,angstrom,standard,Air-wavelength passbands; CaII8662 typo corrected.
Paschen_Pa15_8545,Paschen,Pa15_8545,8515.0,8522.0,8538.0,8552.0,8563.0,8577.0,absorption_or_emission_line,angstrom,pragmatic,Useful for young populations and CaT contamination checks.
Cenarro_PaT_P14,Cenarro,PaT_P14,8563.0,8577.0,8577.0,8619.0,8619.0,8642.0,absorption_index,angstrom,standard,Component of PaT; continuum is formally fit from five Cenarro bands.
Paschen_Pa14_8598,Paschen,Pa14_8598,8563.0,8577.0,8590.0,8607.0,8619.0,8642.0,absorption_or_emission_line,angstrom,pragmatic,Useful for young populations and CaT contamination checks.
Cenarro_CaT_Ca3,Cenarro,CaT_Ca3,8619.0,8642.0,8642.0,8682.0,8700.0,8725.0,absorption_index,angstrom,standard,Component of CaT; nearest bracketing Cenarro continuum bands.
DTT_CaII8662,DTT,CaII8662,8447.5,8462.5,8647.0,8677.0,8842.5,8857.5,absorption_index,angstrom,standard,Air-wavelength passbands; CaII8662 typo corrected.
Paschen_Pa13_8665,Paschen,Pa13_8665,8619.0,8642.0,8657.0,8673.0,8700.0,8725.0,absorption_or_emission_line,angstrom,pragmatic,Useful for young populations and CaT contamination checks.
Cenarro_PaT_P12,Cenarro,PaT_P12,8700.0,8725.0,8730.0,8772.0,8776.0,8792.0,absorption_index,angstrom,standard,Component of PaT; continuum is formally fit from five Cenarro bands.
Paschen_Pa12_8750,Paschen,Pa12_8750,8700.0,8725.0,8741.0,8759.0,8776.0,8792.0,absorption_or_emission_line,angstrom,pragmatic,Useful for young populations and CaT contamination checks.
DTT_MgI8807,DTT,MgI8807,8775.0,8787.0,8799.5,8814.5,8845.0,8855.0,absorption_index,angstrom,standard,Air-wavelength passbands; CaII8662 typo corrected.
Emission_SIII9069,Emission,SIII9069,9025.0,9052.0,9058.0,9079.0,9085.0,9115.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
Emission_SIII9531,Emission,SIII9531,9485.0,9513.0,9519.0,9542.0,9548.0,9580.0,emission_line,angstrom,pragmatic,Local integration window; simultaneous Gaussian fitting is preferred.
